3 20
1.173514 -16.450637 -3.688077
1.512884 -4.450637 -4.198079
5.795386 -16.543639 -2.783391
-0.847925 -16.366637 -3.049642
-4.521898 -16.048637 1.965053
-2.008836 -15.977637 5.310046
2.172888 -16.082641 5.643802
8.381010 -16.537635 -0.917760
8.194449 -12.667640 -4.364949
1.833510 -12.540633 -5.608075
-4.654268 -12.027640 2.129115
-2.436144 -11.867637 7.380046
3.507887 -12.047637 7.103488
10.935698 -12.569640 -0.227765
6.160071 -8.730636 -7.427762
2.427885 -8.624641 -7.427762
-1.391863 -8.343635 -3.359952
1.575697 -8.276633 0.176295
7.316946 -8.451636 -0.110578
9.574446 -8.673637 -3.816510
