3 38
3.521948 -10.450637 6.806300
0.533194 21.549363 -10.324635
2.424132 -7.854636 4.109111
-2.826334 -7.364638 5.938174
1.919760 -5.495635 8.598796
6.930701 -6.452636 5.938174
2.095076 -5.710639 0.435046
-7.730867 -4.345641 4.695048
0.090788 -2.048644 7.616298
9.797575 -3.620635 2.990672
0.985075 -2.718642 -1.520574
-8.966959 -1.495635 2.496608
-0.924898 1.408357 6.512858
7.551321 -0.343642 1.765361
-1.572145 0.921357 -2.016515
-9.265550 1.702363 0.783801
-3.075708 5.151368 6.139735
5.550696 3.283357 1.148486
-2.995462 5.775361 -0.442449
-9.475366 5.430360 0.044108
-4.222643 8.531358 4.913486
4.367575 7.051362 0.654422
-3.873712 9.246369 -1.545888
-10.478960 8.759370 -1.302136
-4.258737 11.885362 3.445361
4.218512 10.133363 -1.302136
-3.067461 12.482362 -3.379636
-9.876520 12.694367 -1.796201
-4.557428 15.083360 1.733485
3.919447 13.331361 -3.014012
-3.366243 15.680360 -5.091512
-9.512583 16.215363 -3.021512
-3.488580 18.475358 0.143489
4.725699 16.568360 -4.847760
-3.664835 18.879365 -6.803388
-8.175050 19.697358 -4.489636
-3.625643 21.427369 -2.056828
5.668822 19.817368 -6.681516
