3 38
7.360000 2.080000 6.920000
6.960000 2.480000 6.000000
7.840000 2.480000 8.160000
6.400000 2.480000 6.680000
8.400000 2.480000 7.920000
6.480000 2.960000 5.600000
8.160000 2.960000 8.720000
6.080000 2.960000 6.280000
8.720000 2.960000 8.400000
6.400000 3.360000 5.680000
8.800000 3.360000 9.040000
6.160000 3.360000 5.840000
8.880000 3.360000 8.400000
8.560000 3.760000 7.760000
8.680000 3.760000 9.200000
7.440000 3.760000 8.440000
9.040000 3.760000 8.040000
8.760000 4.240000 7.680000
8.720000 4.240000 9.280000
7.680000 4.240000 8.480000
9.120000 4.240000 8.240000
8.800000 4.640000 7.600000
8.720000 4.640000 9.120000
7.840000 4.640000 8.440000
9.120000 4.640000 8.040000
8.680000 5.040000 7.520000
8.800000 5.040000 8.880000
7.840000 5.040000 8.240000
9.120000 5.040000 7.800000
8.600000 5.440000 7.280000
8.720000 5.440000 8.560000
7.920000 5.440000 7.760000
9.040000 5.440000 7.640000
8.080000 5.920000 6.960000
8.560000 5.920000 7.840000
7.760000 5.920000 7.080000
8.640000 5.920000 7.760000
7.750000 6.320000 6.850000
