3 38
-0.248508 -1.619178 -0.785568
-0.728508 -1.219178 -1.625568
0.231492 -1.219178 0.534432
-1.328508 -1.219178 -1.065568
0.751492 -1.219178 0.014432
-1.048508 -0.819178 -2.025568
0.431492 -0.819178 1.014432
-1.568508 -0.819178 -1.505568
0.991492 -0.819178 0.534432
-1.128508 -0.419178 -1.785568
0.271492 -0.419178 1.254432
-1.408508 -0.419178 -1.585568
1.071492 -0.419178 0.934432
0.791492 -0.019178 -0.025568
0.351492 -0.019178 1.494432
-0.368508 -0.019178 0.814432
1.071492 -0.019178 0.214432
0.671492 0.380822 0.134432
0.551492 0.380822 1.574432
-0.288508 0.380822 0.974432
1.071492 0.380822 0.374432
0.631492 0.780822 0.134432
0.511492 0.780822 1.574432
-0.368508 0.780822 1.094432
0.991492 0.780822 0.494432
0.511492 1.180822 -0.025568
0.471492 1.180822 1.414432
-0.368508 1.180822 0.614432
0.911492 1.180822 0.414432
0.111492 1.580822 -0.105568
0.311492 1.580822 1.254432
-0.448508 1.580822 0.214432
0.831492 1.580822 0.294432
-0.448508 1.980822 -0.505568
0.471492 1.980822 0.854432
-0.608508 1.980822 -0.425568
0.591492 1.980822 0.134432
-0.548508 2.380822 -0.615568
